"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-11-13","30","38","22"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-11-14","30","31","28"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-11-15","28","32","23"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-11-16","23","31","15"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-11-17","22","29","14"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-11-18","23","29","16"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-11-19","25","27","22"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-11-20","26","33","19"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-11-21","29","38","19"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-11-22","30","38","21"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-11-23","31","39","22"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-11-24","29","32","25"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-11-25","31","37","24"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-11-26","36","41","30"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-11-27","38","47","29"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-11-28","33","41","24"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-11-29","41","49","33"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-11-30","41","48","33"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-12-01","39","46","31"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-12-02","34","41","26"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-12-03","32","40","23"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-12-04","34","43","24"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-12-05","29","31","27"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-12-06","31","33","28"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-12-07","30","31","29"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-12-08","31","32","29"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-12-09","32","33","30"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-12-10","31","34","28"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-12-11","28","31","24"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-12-12","28","31","25"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-12-13","32","38","26"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-12-14","38","42","34"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-12-15","35","44","26"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-12-16","34","44","23"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-12-17","35","44","25"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-12-18","29","37","20"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-12-19","28","33","23"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-12-20","28","36","19"
